"ESTADO","NOMBRE ESTADO","DISTRITO","CABECERA DISTRITAL","SECCIONES","CASILLAS"," PAN"," PRI"," PRD"," PVEM"," PT"," MOVIMIENTO CIUDADANO"," NUEVA ALIANZA"," MORENA"," PARTIDO HUMANISTA"," ENCUENTRO SOCIAL"," PAN-NUEVA ALIANZA"," PRI PVEM"," PRD PT"," CANDIDATO INDEPENDIENTE 1"," CANDIDATO INDEPENDIENTE 2"," CANDIDATOS NO REGISTRADOS"," NULOS","TOTAL VOTOS","LISTA NOMINAL","OBSERVACIONES"
"21","PUEBLA","13","ATLIXCO","194","415","19,597","29,693","3,669","5,532","1,756","1,052","5,085","8,343","1,123","1,821",,"5,554",,,,"227","4,482","87,934","231,143","SDF-JIN-15-2015 SDF-JIN-34-2015"
"21","PUEBLA","14","IZUCAR DE MATAMOROS","182","427","3,262","45,871","20,018","2,288","9,347","1,887","2,956","4,855","1,007","800",,"3,355",,,,"33","3,503","99,182","226,674",
"21","PUEBLA","15","TEHUACAN","113","411","41,686","16,374","6,718","4,359","2,677","1,034","5,106","6,516","1,722","1,548",,"1,704",,"13,990",,"120","4,966","108,520","260,691","SDF-JIN-8-2015"
"21","PUEBLA","16","AJALPAN","165","383","13,110","44,314","5,238","1,857","1,631","509","36,211","3,868","409","556",,"2,266",,,,"19","4,242","114,230","208,027","SDF-JIN-28-2015 SDF-JIN-29-2015"
"22","QUERETARO","1","CADEREYTA DE MONTES","214","567","75,262","70,641","9,320","15,274","1,560","5,522","4,661","7,377","3,089","3,505",,"1,134",,,,"86","10,060","207,491","309,734","SM-JIN-26-2015 SM-JIN-27-2015"
"22","QUERETARO","2","SAN JUAN DEL RIO","212","631","79,302","63,449","5,379","10,427","2,190","2,858","6,639","9,308","8,573","6,155",,"2,203",,,,"228","10,751","207,462","364,380","SM-JIN-28-2015 SUP-REC-343-2015"
"22","QUERETARO","3","QUERETARO","236","614","77,552","48,641","5,159","7,076","1,993","4,628","4,630","13,749","4,785","6,198",,"1,376",,,,"254","9,423","185,464","363,253",
"22","QUERETARO","4","QUERETARO","197","616","85,765","59,914","6,195","8,242","2,262","4,079","5,219","14,079","5,318","6,007",,"1,400",,,,"299","10,796","209,575","376,420",
"23","QUINTANA ROO","1","SOLIDARIDAD","511","983","17,078","67,316","10,306","19,621","4,691","8,192","6,515","26,342","5,293","7,445",,"5,633",,,,"234","10,158","188,824","546,544","SX-JIN-24-2015 SUP-REC-351-2015"
"23","QUINTANA ROO","2","OTHON P. BLANCO","242","467","13,825","44,347","14,768","3,179","6,834","2,028","6,962","17,988","2,111","3,480",,"2,030",,"10,969",,"98","6,405","135,024","254,577","SX-JIN-23-2015 SUP-REC-350-2015"
"23","QUINTANA ROO","3","BENITO JUAREZ","185","406","9,960","13,720","6,642","16,104","1,983","10,783","2,534","10,098","3,019","2,860",,"3,059",,,,"202","5,501","86,465","237,651","SX-JIN-118-2015 SX-JIN-119-2015 SX-JIN-120-2015 SX-JIN-131-2015 SX-JIN-132-2015"
"24","SAN LUIS POTOSI","1","MATEHUALA","319","521","35,941","48,487","8,440","10,269","8,506","9,191","6,974","5,736","1,292","3,297",,"2,345","718",,,"99","11,264","152,559","251,120",
"24","SAN LUIS POTOSI","2","SOLEDAD DE GRACIANO SANCHEZ","207","486","22,917","35,040","47,683","8,624","6,108","4,856","4,963","5,157","2,062","2,605",,"1,426","972",,,"376","8,989","151,778","280,220","SM-JIN-17-2015 SUP-REC-333-2015"
"24","SAN LUIS POTOSI","3","RIOVERDE","346","521","51,186","49,624","4,559","11,921","5,788","3,566","3,979","3,522","1,228","1,587",,"1,505","367",,,"83","9,115","148,030","243,033",
"24","SAN LUIS POTOSI","4","CIUDAD VALLES","245","459","42,644","46,294","6,972","5,456","3,802","4,604","5,875","4,316","3,499","2,620",,"2,035","159",,,"95","8,337","136,708","238,565",
"24","SAN LUIS POTOSI","5","SAN LUIS POTOSI","197","488","44,865","23,291","30,814","8,561","2,637","5,006","5,002","8,492","3,004","4,908",,"940","1,112",,,"1,452","9,413","149,497","288,476","SM-JIN-36-2015 SUP-REC-387-2015"
"24","SAN LUIS POTOSI","6","SAN LUIS POTOSI","187","494","34,891","14,268","42,620","12,401","3,228","3,905","4,808","6,979","3,332","4,495",,"781","1,214",,,"965","8,311","142,198","295,840",
"24","SAN LUIS POTOSI","7","TAMAZUNCHALE","285","510","53,992","52,028","17,123","9,956","2,907","6,749","11,714","8,942","1,799","1,312",,"1,860","657",,,"35","14,010","183,084","262,378","SM-JIN-16-2015 SUP-REC-501-2015"
"25","SINALOA","1","EL FUERTE","585","623","17,437","43,349","6,412","2,657","842","816","2,573","1,504","517","486",,"840",,"19,753",,"54","3,268","100,508","210,880","SG-JIN-38-2015 SG-JIN-71-2015 SUP-REC-322-2015"
"25","SINALOA","2","AHOME","453","624","30,696","47,662","3,719","3,960","1,424","2,915","4,013","7,478","2,913","1,907",,"1,142",,,,"156","5,752","113,737","297,845","SG-JIN-70-2015"
"25","SINALOA","3","SALVADOR ALVARADO","501","613","16,977","43,327","5,000","3,872","866","1,655","3,517","4,804","1,585","2,161",,"1,247",,,,"236","4,302","89,549","251,369","SG-JIN-37-2015 SUP-REC-345-2015 SUP-REC-455-2015"
"25","SINALOA","4","GUASAVE","437","491","45,048","40,964","4,443","876","558","318","1,603","3,384","1,963","1,042",,"767",,,,"32","2,841","103,839","199,650","SG-JIN-6-2015"
"25","SINALOA","5","CULIACAN","500","671","7,990","27,388","2,340","3,197","1,218","1,280","3,365","4,577","1,034","1,387",,"652",,"43,730",,"225","4,630","103,013","300,150",
"25","SINALOA","6","MAZATLAN","409","539","14,232","33,771","4,458","3,162","1,805","1,522","8,777","3,051","920","643",,"1,208",,"15,297",,"203","4,499","93,548","232,892","SG-JIN-69-2015"
"25","SINALOA","7","CULIACAN","418","572","9,798","25,584","3,957","4,195","5,718","1,786","2,790","4,893","1,383","1,362",,"584",,"13,589",,"752","4,640","81,031","272,803","SG-JIN-39-2015 SG-JIN-72-2015 SUP-REC-323-2015"
"25","SINALOA","8","MAZATLAN","405","527","20,888","15,456","1,067","7,195","12,004","1,551","2,389","3,870","2,018","1,129",,"2,305",,"8,909",,"124","5,499","84,404","242,731","SG-JIN-68-2015"
"26","SONORA","1","SAN LUIS RIO COLORADO","192","490","56,699","46,221","4,101","3,234","1,545","3,085","2,759","7,220","938","3,397",,"825",,,,"76","3,770","133,870","283,553","SG-JIN-60-2015 SUP-REC-380-2015"
"26","SONORA","2","NOGALES","221","526","61,802","48,713","3,470","3,055","2,956","9,725","5,604","4,161","745","1,801",,"989",,,,"47","5,606","148,674","311,584","SG-JIN-3-2015 SG-JIN-55-2015"
"26","SONORA","3","HERMOSILLO","222","494","58,244","49,946","3,204","3,611","1,653","4,800","4,047","6,633","1,741","2,920",,"1,970",,,,"108","5,428","144,305","289,652","SG-JIN-54-2015 SG-JIN-58-2015 SUP-REC-454-2015"
"26","SONORA","4","GUAYMAS","260","500","56,097","58,241","8,972","5,485","3,180","3,176","7,276","5,452","708","1,825",,"1,236",,,,"33","5,550","157,231","261,414","SG-JIN-53-2015"
"26","SONORA","5","HERMOSILLO","194","457","51,543","52,623","2,740","2,810","1,667","3,585","2,906","4,822","1,373","2,345",,"1,783",,,,"74","4,810","133,081","263,019","SG-JIN-61-2015"
"26","SONORA","6","CAJEME","219","523","37,106","66,942","2,745","2,744","1,303","11,625","5,820","6,243","1,790","2,235",,"1,594",,,,"77","4,226","144,450","304,116","SG-JIN-59-2015"
"26","SONORA","7","NAVOJOA","205","452","59,551","66,123","8,443","1,905","1,140","1,335","4,510","3,239","375","918",,"1,696",,,,"28","4,463","153,726","254,272","SG-JIN-56-2015 SG-JIN-57-2015 SUP-REC-328-2015"
"27","TABASCO","1","MACUSPANA","213","433","7,391","36,494","36,989","24,150","2,408","9,008","3,884","16,826","1,220","1,286",,,"205",,,"83","5,306","145,250","235,925","SX-JIN-56-2015"
"27","TABASCO","2","CARDENAS","190","438","2,132","48,657","58,994","11,667","10,411","2,402","2,066","6,111","942","1,336",,,"636",,,"36","4,241","149,631","247,230",
"27","TABASCO","3","COMALCALCO","185","473","2,348","38,486","60,729","7,920","4,107","2,289","8,486","37,773","1,050","931",,,"328","2,321",,"99","5,158","172,025","273,638",
"27","TABASCO","4","CENTRO","175","451","3,703","29,740","22,887","18,765","2,051","3,929","2,687","23,140","1,580","5,543",,,"311",,,"131","5,925","120,392","266,869","SX-JIN-37-2015"
"27","TABASCO","5","PARAISO","183","467","22,857","42,129","39,746","28,475","5,701","4,564","2,500","14,640","1,223","2,114",,,"277",,,"61","6,907","171,194","276,132","SX-JIN-7-2015 SX-JIN-8-2015 SX-JIN-9-2015 SUP-REC-417-2015"
"27","TABASCO","6","CENTRO","182","520","3,682","45,438","33,842","31,816","2,950","4,011","2,651","19,550","1,469","2,843",,,"609",,,"98","6,719","155,678","313,755",
"28","TAMAULIPAS","1","NUEVO LAREDO","253","577","53,129","55,931","2,085","3,815","652","1,063","2,189","2,310","921","2,333",,,,"3,085",,"137","4,706","132,356","330,113","SM-JIN-58-2015 SM-JIN-59-2015 SUP-REC-506-2015"
"28","TAMAULIPAS","2","REYNOSA","237","550","33,200","45,478","2,780","8,232","1,605","4,576","5,503","6,820","2,148","3,988",,,,,,"198","6,166","120,694","315,559","SM-JIN-44-2015"
"28","TAMAULIPAS","3","RIO BRAVO","416","804","39,119","89,151","4,926","6,878","2,251","2,970","7,804","7,247","2,015","9,520",,,,,,"193","7,468","179,542","438,661","SM-JIN-12-2015 SUP-REC-305-2015"
"28","TAMAULIPAS","4","MATAMOROS","173","495","40,420","53,283","1,254","6,433","757","1,386","3,102","3,643","953","3,646",,,,"8,136",,"160","4,729","127,902","298,082",
"28","TAMAULIPAS","5","VICTORIA","220","518","14,271","65,392","1,637","2,848","1,935","49,787","6,919","2,571","1,097","2,723",,,,,,"67","5,003","154,250","287,163","SM-JIN-19-2015"
"28","TAMAULIPAS","6","EL MANTE","292","525","31,798","73,653","3,187","5,915","1,916","1,431","9,141","2,825","1,766","5,175",,,,,,"44","3,650","140,501","252,177",
"28","TAMAULIPAS","7","CIUDAD MADERO","199","532","24,812","56,922","7,744","9,515","2,206","9,410","7,025","7,345","2,201","5,517",,,,"4,983",,"162","5,991","143,833","318,025","SM-JIN-54-2015 SM-JIN-55-2015 SUP-REC-392-2015"
"28","TAMAULIPAS","8","TAMPICO","205","449","34,764","42,151","5,762","7,310","1,477","6,457","3,923","6,993","1,641","3,681",,,,,,"138","5,098","119,395","257,932","SM-JIN-56-2015"
"29","TLAXCALA","1","APIZACO","240","516","17,691","40,012","4,509","4,992","4,240","1,508","3,028","21,661","1,575","3,624",,,,,,"50","6,869","109,759","291,342",
"29","TLAXCALA","2","TLAXCALA","160","470","21,177","25,922","12,930","5,823","20,228","1,705","3,958","12,219","1,863","3,935",,,,,,"79","6,435","116,274","289,894","SDF-JIN-118-2015"
"29","TLAXCALA","3","ZACATELCO","203","474","12,133","28,882","13,730","3,534","8,060","7,656","16,522","10,101","1,056","1,261",,,,"2,488",,"72","5,171","110,666","274,918",
"30","VERACRUZ","1","PANUCO","272","442","27,296","35,225","4,060","17,856","702","1,855","2,266","4,881","778","977",,"1,215",,,,"32","3,446","100,589","215,169",
"30","VERACRUZ","2","TANTOYUCA","265","492","38,844","40,721","46,960","7,582","2,857","2,174","3,157","5,292","804","735",,"1,042",,,,"21","5,626","155,815","250,131","SX-JIN-61-2015 SX-JIN-62-2015 SUP-REC-478-2015"
"30","VERACRUZ","3","TUXPAN","213","455","35,153","39,562","5,113","6,152","1,797","2,272","2,897","9,826","1,557","2,385",,"2,228",,,,"259","4,821","114,022","242,900","SX-JIN-99-2015 SX-JIN-100-2015 SUP-REC-449-2015"
"30","VERACRUZ","4","VERACRUZ","198","473","56,493","19,164","5,167","7,993","5,276","2,615","2,055","12,345","2,462","2,736",,"3,667",,,,"312","6,372","126,657","274,058","SX-JIN-2-2015 SX-JIN-38-2015 SUP-REC-329-2015"
"30","VERACRUZ","5","POZA RICA DE HIDALGO","203","453","10,864","28,070","35,173","3,857","3,264","2,088","5,042","11,190","3,697","1,644",,"1,092",,,,"676","5,803","112,460","259,436","SX-JIN-57-2015"
"30","VERACRUZ","6","PAPANTLA","200","426","7,438","31,967","29,449","5,111","1,872","22,048","3,040","6,515","1,208","760",,"990",,,,"219","3,861","114,478","228,427","SX-JIN-41-2015 SX-JIN-42-2015"
"30","VERACRUZ","7","MARTINEZ DE LA TORRE","245","506","28,307","31,552","21,062","14,018","2,175","3,400","2,490","12,850","1,321","2,176",,"2,533",,,,"805","4,802","127,491","254,961","SX-JIN-74-2015 SX-JIN-75-2015 SX-JIN-76-2015 SX-JIN-77-2015 SUP-REC-396-2015"
"30","VERACRUZ","8","XALAPA","279","572","21,374","34,412","19,138","8,999","5,349","7,023","3,525","18,398","2,717","3,341",,"1,601","958",,,"921","7,023","134,779","302,372","SX-JIN-66-2015 SX-JIN-67-2015 SX-JIN-68-2015 SUP-REC-420-2015"
"30","VERACRUZ","9","COATEPEC","203","481","22,451","29,731","9,624","6,674","3,416","5,327","3,673","19,074","2,833","5,028",,"1,892",,,,"295","7,680","117,698","274,400","SX-JIN-103-2015 SX-JIN-104-2015 SX-JIN-105-2015 SX-JIN-106-2015 SX-JIN-107-2015 SX-JIN-108-2015 SUP-REC-398-2015"
"30","VERACRUZ","10","XALAPA","221","490","21,605","13,205","8,152","2,836","4,057","5,838","4,125","30,729","3,608","4,740",,"1,106","283","9,048","2,449","1,083","9,064","121,928","282,864",
"30","VERACRUZ","11","COATZACOALCOS","239","537","11,653","23,522","4,954","3,148","1,595","2,775","5,732","42,734","1,579","6,952",,"1,197",,"3,629","1,340","384","6,591","117,785","295,469",
"30","VERACRUZ","12","VERACRUZ","261","504","36,022","25,165","5,791","4,822","3,087","5,225","2,693","14,866","2,631","3,386",,"3,019",,,,"237","6,845","113,789","282,603","SX-JIN-3-2015"
"30","VERACRUZ","13","HUATUSCO","216","491","39,337","37,005","7,641","7,847","1,651","13,271","1,888","9,268","1,856","1,995",,"3,313",,,,"835","5,677","131,584","271,094","SX-JIN-5-2015 SX-JIN-13-2015"
"30","VERACRUZ","14","MINATITLAN","213","490","9,503","30,611","6,058","3,413","20,752","1,272","1,267","16,137","1,108","2,122",,"1,239",,,,"56","5,176","98,714","248,943","SX-JIN-78-2015 SX-JIN-79-2015 SX-JIN-80-2015"
"30","VERACRUZ","15","ORIZABA","224","512","35,331","36,270","9,649","6,420","2,157","2,260","2,419","16,900","2,542","4,124",,"1,836",,,,"485","7,949","128,342","286,057","SX-JIN-130-2015"
"30","VERACRUZ","16","CORDOBA","213","498","36,161","36,170","6,525","6,942","2,491","4,634","2,994","18,268","6,653","3,902",,"1,791",,,,"578","8,151","135,260","283,412","SX-JIN-101-2015 SX-JIN-102-2015 SUP-REC-318-2015 SUP-REC-353-2015"
"30","VERACRUZ","17","COSAMALOAPAN","288","586","36,373","42,983","4,840","16,572","2,105","1,682","2,389","13,364","1,660","1,930",,"2,753",,,,"139","6,592","133,382","310,754","SX-JIN-35-2015"
"30","VERACRUZ","18","ZONGOLICA","218","459","31,452","33,129","22,433","6,668","3,929","9,801","1,866","10,052","1,383","2,160",,"1,603",,,,"167","7,896","132,539","254,865","SX-JIN-71-2015"
"30","VERACRUZ","19","SAN ANDRES TUXTLA","215","459","15,729","41,327","12,026","17,882","2,267","1,002","2,704","13,365","2,459","4,136",,"2,103",,,,"490","4,860","120,350","256,058","SX-JIN-58-2015 SX-JIN-59-2015 SX-JIN-60-2015"
"30","VERACRUZ","20","ACAYUCAN","207","447","9,707","56,821","3,794","14,397","3,691","2,011","1,561","11,557","1,320","1,401",,"2,363",,,,"60","4,806","113,489","244,057","SX-JIN-39-2015 SX-JIN-40-2015"
"30","VERACRUZ","21","COSOLEACAQUE","220","484","15,921","35,773","11,325","6,388","2,408","1,413","1,353","15,444","1,125","1,762",,"2,250",,,,"84","5,076","100,322","264,699","SX-JIN-69-2015"
"31","YUCATAN","1","VALLADOLID","225","456","70,618","97,591","13,156","1,535","690","1,620","2,552","9,985","310","402",,"1,011",,,,"17","3,104","202,591","251,937","SX-JIN-33-2015 SX-JIN-34-2015"
"31","YUCATAN","2","PROGRESO","221","497","68,031","91,411","9,548","6,154","1,058","1,901","15,730","5,886","1,122","799",,"613",,,,"52","4,726","207,031","281,245","SX-JIN-6-2015 SX-JIN-11-2015 SUP-REC-422-2015"
"31","YUCATAN","3","MERIDA","259","601","75,571","85,559","2,737","5,092","1,196","6,765","2,874","9,011","1,676","2,929",,"2,864",,,,"187","6,496","202,957","341,507","SX-JIN-72-2015 SX-JIN-73-2015 SUP-REC-424-2015"
"31","YUCATAN","4","MERIDA","211","494","73,166","68,048","1,997","4,031","905","5,287","2,247","6,472","1,317","1,942",,"2,312",,,,"120","5,545","173,389","286,024","SX-JIN-125-2015 SX-JIN-126-2015 SX-JIN-127-2015 SX-JIN-128-2015 SX-JIN-129-2015 SUP-REC-479-2015"
"31","YUCATAN","5","TICUL","200","481","71,888","101,132","20,950","10,847","1,765","806","3,057","4,313","636","786",,"651",,,,"31","5,301","222,163","275,895","SX-JIN-36-2015"
"32","ZACATECAS","1","FRESNILLO","399","572","8,404","38,407","13,040","5,978","29,020","1,269","3,391","4,649","2,381","4,645",,"1,327","2,580",,,"79","4,870","120,040","272,780","SM-JIN-47-2015 SM-JIN-48-2015 SM-JIN-49-2015 SUP-REC-415-2015"
"32","ZACATECAS","2","JEREZ","570","683","36,035","45,396","17,458","9,040","3,473","822","2,751","3,303","1,412","1,711",,"1,109","498",,,"70","4,934","128,012","267,184","SM-JIN-40-2015 SM-JIN-41-2015"
"32","ZACATECAS","3","ZACATECAS","409","592","9,552","38,259","20,385","10,458","12,196","2,911","3,484","8,035","3,094","2,894",,"1,063",,,,"156","6,116","118,603","267,915","SM-JIN-10-2015 SM-JIN-11-2015"
"32","ZACATECAS","4","GUADALUPE","377","592","6,428","43,147","16,453","10,757","18,366","2,006","3,588","20,409","2,466","2,632",,"1,106",,,,"136","6,519","134,013","295,836","SM-JIN-20-2015"
